text,favorite_count,retweet_count,created_at,lang,user.screen_name,user.name,user.time_zone,user.followers_count,user.statuses_count,_id
Adele announces first tour since 2011 https://t.co/YjcorV9fRb #MacysParade #Breaking #indiedev #BlackFriday #Amazon #ad,0,0,Tue Dec 01 17:47:12 +0000 2015,en,RatesNews,#blackfriday Amazon,Pacific Time (US & Canada),21,2440,671747390332801024
RT @Siul_Euquirne: #Noticias #XboxOne tuvo buenas ventas durante el #BlackFriday #RT @GamerRTer @ShoutRTs @Retweet_Lobby https://t.co/njWY0…,0,2,Tue Dec 01 17:47:13 +0000 2015,es,GamerRTer,Gamer Retweeter,Alaska,35987,266370,671747391649939457
RT @Siul_Euquirne: #Noticias #XboxOne tuvo buenas ventas durante el #BlackFriday #RT @GamerRTer @ShoutRTs @Retweet_Lobby https://t.co/njWY0…,0,2,Tue Dec 01 17:47:13 +0000 2015,es,Retweet_Lobby,Retweet Lobby,Pacific Time (US & Canada),4020,38726,671747391662497792
Cards Against Humanity's released what they've done with all the $5 they got from Black Friday: https://t.co/GOwRVYTpHO,1,0,Tue Dec 01 17:47:13 +0000 2015,en,goofanader,Nyanko-sensei,Pacific Time (US & Canada),184,14354,671747391909814272
"RT @HolaLuzcom: Tras #BlackFriday y #CiberMonday llega #GivingTuesday,el día de la donación y la solidaridad https://t.co/EeVyjlqMbZ https:…",0,3,Tue Dec 01 17:47:17 +0000 2015,es,ciktricstrans,Krme Freixa,Madrid,4189,141650,671747410146799618
RT @philmaud: Finally decided to try @smartthings #smarthome #connnectedhome #IoT #tech in @henpartyhouse. Great #BlackFriday deal https://…,0,5,Tue Dec 01 17:47:21 +0000 2015,en,anonimous558,"Mem,Verdad yJusticia",London,1352,6339,671747426458431488
RT @BreeHarrisTHD: HD#6545 BlackFriday Appliance Sale is🔛‼️Hurry🏃In for Sweet Deals🍭🍬➕BuyMore💳SaveMore💸💰‼️#Swbfevents https://t.co/C8P0Wh10…,0,14,Tue Dec 01 17:47:23 +0000 2015,en,Mark39014689,Mark,"",3,41,671747434637168640
RT @GooglePlay: #BlackFriday can be cozy ... when you're shopping Google Play's deals from the couch. https://t.co/N3q495wXF7 https://t.co/…,0,64,Tue Dec 01 17:47:36 +0000 2015,en,Androidnextday,android fans,Pacific Time (US & Canada),413,793,671747490048172032
2015 Black Friday Infographic - IBM Watson Trend Hub https://t.co/YniLvvdaF2,0,1,Tue Dec 01 17:47:38 +0000 2015,en,sebthaele,Sebastian Thaele,Paris,580,2916,671747495861456898
RT @gustyea66: La OCU demuestra el fraude casi general del #BlackFriday en España https://t.co/L7EnAhn75T https://t.co/Hfy4o2uP5o,0,18,Tue Dec 01 17:47:41 +0000 2015,es,tomasrodrico,Tomás Rodríguez,Madrid,119,637,671747510289997824
RT @WithABlast: GrandLash MD #BlackFriday deal I'm snatching now at 46% off ! #sp @overstock -https://t.co/lYTY2hXjm2 https://t.co/GiOHthbL…,0,95,Tue Dec 01 17:47:46 +0000 2015,en,JoannaSormunen1,Joanna Sormunen,"",2201,40445,671747529973866497
"بیشترین کالای سفارش داده شده در #BlackFriday فروشگاه #بامیلو از مجموعه پوشاک بوده است.
https://t.co/ZigUpzYENc  #ریتوییت #ویدیو #ecommerce",0,0,Tue Dec 01 17:47:47 +0000 2015,fa,bamilofashion,Bamilo Fashion,Tehran,1414,3424,671747537204862976
Compritas del blackfriday de @maquillalia ya en casa!! #makeup #maquillaje #obsesión #obsessed https://t.co/RUUEwA1lST,0,0,Tue Dec 01 17:47:49 +0000 2015,es,pinguinitoasul,Gwendonline,Greenland,219,21979,671747542720364546
Continuamos con la promocion de Minilipo a precio de #blackfriday solo x esta semana a $659 y… https://t.co/RCASBw46Xs,0,0,Tue Dec 01 17:47:50 +0000 2015,es,betomoralesS,Dr. Roberto Morales,Central Time (US & Canada),97,593,671747546423914496
Woo hoo biggest smile in weeks! #BlackFriday deals started arriving (my stuff of course)! #selfishshopping #mymini https://t.co/cJxV9HrbFT,0,0,Tue Dec 01 17:47:52 +0000 2015,en,simplyangelGA,Angel Campbell,"",60,439,671747556041490432
✾❝  #vintage Wonder Woman meets vintage handbag! #BlackFriday #CyberMondays https://t.co/c6heAme91j https://t.co/wdJhtKwIbt,0,0,Tue Dec 01 17:47:53 +0000 2015,en,PutAComicOnIt,ComicOnIt,Eastern Time (US & Canada),290,30234,671747558260240384
RT @WWE: #CyberMonday deals have arrived on @WWEShop.com! Use code CYBER now: https://t.co/Eq5nZFMu8F #WWEShop https://t.co/lMujVMKutX,0,171,Tue Dec 01 17:47:55 +0000 2015,en,HillJdogg,James Hill,"",85,9846,671747568309772288
RT @consumidores: El #BlackFriday de MediaMarkt supuso unos descuentos medios del 0% https://t.co/hkEhNc968H #YoNoSoyPardo https://t.co/de6…,0,102,Tue Dec 01 17:47:56 +0000 2015,es,MenchuFrancisco,Menchu Francisco,"",89,1281,671747572386684928
"Play for a chance at over 360,000 prizes! You could win free points to shop #blackfriday https://t.co/BLn6ngcl7v via @SYWSweeps",0,0,Tue Dec 01 17:47:57 +0000 2015,en,maivue987654321,Mai Vue,"",9,86,671747576991993856
"Play for a chance at over 360,000 prizes! You could win free points to shop #blackfriday https://t.co/ujaZ9y66AA via @SYWSweeps",0,0,Tue Dec 01 17:47:59 +0000 2015,en,STAPLERS3,STAPLERS,"",0,40,671747586718490624
Not your average car.  Not your average day. #blackcharger #blackfriday https://t.co/C18JhaBiiY,1,0,Tue Dec 01 17:48:01 +0000 2015,en,JetPerformance,JET Performance,Arizona,287,1485,671747593827913729
Para celebrar el #BlackFriday participo en el #sorteo de 2 Xiaomi MiBand en https://t.co/BmhuX6mWoF Suerte! https://t.co/1mZ82g6uA4,0,0,Tue Dec 01 17:48:03 +0000 2015,es,mjosemagraner,mj69,"",43,138,671747601914531842
VIDEO: Empty shoes replace Paris climate march https://t.co/PiwAzGp1K4 Romo #BlackFriday #Startups #MacysParade,0,0,Tue Dec 01 17:48:04 +0000 2015,en,BethRateTV,Beth ⚡️ Wilson,Pacific Time (US & Canada),53,3505,671747605433466880
"RT @CentralTXBlood: First there was #BlackFriday, then there was #CyberMonday. Now there's #GivingTuesday. How about giving blood today? ht…",0,1,Tue Dec 01 17:48:08 +0000 2015,en,LordPlaza,Jesse,Central Time (US & Canada),2858,2481,671747623783546880
"RT @TeamBath: It might be Saturday but #BlackFriday sale is continuing at the Team Bath Store, big savings in STV from 9am-2pm https://t.co…",0,1,Tue Dec 01 17:48:10 +0000 2015,en,Payton2Matthew,Matthew Payton,London,3381,17289,671747629592780801
COP21: Coal plans to derail 2 degrees https://t.co/pm5wJDpole #Forbes #Startups #BlackFriday #Amazon,0,0,Tue Dec 01 17:48:10 +0000 2015,en,welltoldnews,Well Told News,"",86,2900,671747631568171008
"#BlackFriday, #ShopSmallSaturday, #CyberMonday &amp; finally, a day that's focused on generosity, not just consumerism! Today is #GivingTuesday",0,0,Tue Dec 01 17:48:10 +0000 2015,en,SDoubleUB,Sonya Watson,Pacific Time (US & Canada),338,5288,671747633002782721
#BlackFriday sales down. #CyberMonday sales up. Who wants to fist fight for savings? That's why: https://t.co/M9kmtG6GjR,0,0,Tue Dec 01 17:48:14 +0000 2015,en,B104Buck,Buck Stevens,Central Time (US & Canada),2076,38060,671747647846416384
Best savings for Sag Harbor Faux-Fur Vest - Women's Buy Now #BlackFriday #DealsWeek at https://t.co/o1s1RbQ2xE https://t.co/2DOBkc0w6P,0,0,Tue Dec 01 17:48:19 +0000 2015,en,BestPriceShopzz,Panna Bestdeals,Pacific Time (US & Canada),19,6471,671747667538534400
Best of D-Art Collection Michaela Shoe Bench Get Now #BlackFriday #DealsWeek at https://t.co/pqtqFBKPzz https://t.co/JOfGKnDy7y,0,0,Tue Dec 01 17:48:19 +0000 2015,en,Cobragold_YMM,Cobragold YMM,Pacific Time (US & Canada),7,6922,671747669191077888
Recommend FANMATS US Navy Drink Mat Buy Now #BlackFriday #DealsWeek at https://t.co/ycue81JAeU https://t.co/mrPtCduSRQ,0,0,Tue Dec 01 17:48:19 +0000 2015,en,EndYearSaleMM,Jonatan Wattanabi,"",40,6502,671747669681831936
Affordable International Concepts Shaker Table Get Now #BlackFriday #CyberMonday at https://t.co/xWeHx5sKXv https://t.co/nm0fRgSzN1,0,0,Tue Dec 01 17:48:19 +0000 2015,en,Cheapshopz,Black Friday Sale,Pacific Time (US & Canada),7290,6500,671747669706989569
Great buy Fireplace Scene Ball Musical Santa Get Now #CyberMonday #BlackFriday at https://t.co/ln6wiUdKgk https://t.co/5KvBdf4Fh3,0,0,Tue Dec 01 17:48:19 +0000 2015,en,cybermondayz,Black Friday USA,"",76,7340,671747670122237952
Inexpensive Adult Green Bay Packers Reversible Scarf Get Now #BlackFriday #CyberMonday at https://t.co/3Ma30G0RUI https://t.co/UlDUbYQ8Kb,0,0,Tue Dec 01 17:48:19 +0000 2015,en,BFD2015,Black Friday 2015,Pacific Time (US & Canada),10967,13995,671747670134775810
RT @TeamBath: The #BlackFriday sale is under way at the Team Bath Store - big savings until 4pm today and from 9am-2pm Saturday https://t.c…,0,1,Tue Dec 01 17:48:20 +0000 2015,en,Payton2Matthew,Matthew Payton,London,3381,17289,671747672668282880
Best of CommClad 2-Drawer Mobile Pedestal Order Now #BlackFriday #CyberMonday at https://t.co/2RlMfdQ0HP https://t.co/qJBaxNtybx,0,0,Tue Dec 01 17:48:20 +0000 2015,en,watana96,Watana Peter,"",10,6199,671747672852729857
Inexpensive Nautica Blue Men's Cologne Buy Now #BlackFriday #DealsWeek at https://t.co/Jz6LKS9rH6 https://t.co/hHmthZneuz,0,0,Tue Dec 01 17:48:20 +0000 2015,en,BlackFridayShoz,Yuma Wattson,"",24,6544,671747673196662784
Great buy Catskill Craftsmen Telephone Stand Buy Now #CyberMonday #BlackFriday at https://t.co/C57tYwUBBx https://t.co/YXfdBBOqYw,0,0,Tue Dec 01 17:48:20 +0000 2015,en,cybermondayz,Black Friday USA,"",76,7340,671747673225998337
Affordable Safavieh Jan Demilune Console Table Get Now #BlackFriday #DealsWeek at https://t.co/bvEFXacyPe https://t.co/8zIrWlrLdo,0,0,Tue Dec 01 17:48:20 +0000 2015,en,Cobragold_YMM,Cobragold YMM,Pacific Time (US & Canada),7,6922,671747673624416257
@amazon informa que las ventas de sus tabletas de 7 pulgadas se triplicaron en este #BlackFriday en comparación con 2014 #CapituloBursátil,0,0,Tue Dec 01 17:48:25 +0000 2015,es,almuerzonegocio,Almuerzo de Negocios,La Paz,10629,55865,671747692536553472
#Чайка  купил соляной завод дешевле в три раза. И че? Может он купил его в чёрную пятницу. #ФБК #BlackFriday,0,0,Tue Dec 01 17:48:25 +0000 2015,ru,P_Alexeev,Pavel Alexeev,"",27,864,671747694579335168
#SALEOFF #BLACKFRIDAY https://t.co/NF58khRkGT https://t.co/NVzAwna8BV,0,0,Tue Dec 01 17:48:27 +0000 2015,und,thelmareeves491,ThelmaReeves4913,"",1959,606,671747701554331648
"#topOferta #blackFriday Smartphone Samsung Galaxy E5 Duos Dual Chip Desbloqueado Android 4.4 Tela A https://t.co/CllB5Gzign - R$ 565,00",0,0,Tue Dec 01 17:48:29 +0000 2015,pt,PromobitOficial,Promobit,Santiago,5441,19287,671747710668681216
RT @consumidores: El #BlackFriday de MediaMarkt supuso unos descuentos medios del 0% https://t.co/hkEhNc968H #YoNoSoyPardo https://t.co/de6…,0,102,Tue Dec 01 17:48:29 +0000 2015,es,sergio_cord,Sergio Pérez Naranjo,Madrid,154,31396,671747712824565760
Shop on #Amazon UK for the best 2015 #BlackFriday Deals. Discover Black Frida... https://t.co/RkUVsETZfi,0,0,Tue Dec 01 17:48:30 +0000 2015,en,mchesteroffers,Manchester Offers,"",613,1503,671747715416637440
#cybermonday vs. #blackfriday shopping - what day won? https://t.co/smCAWUgHWd,0,0,Tue Dec 01 17:48:34 +0000 2015,en,scfitzg,Scott Fitzgerald,"",169,156,671747731493261313
"RT @SheltonMercer: #GivingTuesday &gt;
#BlackFriday + #CyberMonday
Get the details @TwitChange + join in! https://t.co/8fp7N5cTTO 
https://t.c…",0,1,Tue Dec 01 17:48:44 +0000 2015,en,TwitChange,TwitChange,Pacific Time (US & Canada),39923,9131,671747773000208384
RT @PC_Box: ¡Gracias al #BlackFriday hablamos un 90% más en Twitter! El #iloveverde terminó ya... :( https://t.co/kFRl4Lhbe5 https://t.co/u…,0,1,Tue Dec 01 17:48:50 +0000 2015,es,PcBoxCoruna,PcBox A Coruña,Pacific Time (US & Canada),462,200,671747801412460545
RT @pixielovin: #PixieLovin finally has #logo! Thanks to the team @tarful ! #holiday #gift #treats #blackfriday #cookies #masonjar https://…,0,1,Tue Dec 01 17:48:54 +0000 2015,en,tarful,Tarful,Caracas,501,2905,671747816113332224
RT @etsymeetntweet: BAMSale https://t.co/wFFdHUtnve https://t.co/IibVmMvyTW #BlackFriday #Etsymntt #EtsyGifts,0,14,Tue Dec 01 17:48:54 +0000 2015,en,Gssbeauty,Geminina Stylish St.,Pacific Time (US & Canada),1702,65522,671747816717438976
Soccer star: Politician's failures led to attacks https://t.co/B7cIQfeyR0 Romo #BlackFriday #Startups #MacysParade,0,0,Tue Dec 01 17:48:54 +0000 2015,en,BethRateTV,Beth ⚡️ Wilson,Pacific Time (US & Canada),53,3505,671747817988218881
"After the mayhem of #BlackFriday and #CyberMonday, what causes have you been supporting for #GivingTuesday?",0,0,Tue Dec 01 17:48:55 +0000 2015,en,_booments,boom ents,London,839,1347,671747821956145152
RT @consumidores: El #BlackFriday de MediaMarkt supuso unos descuentos medios del 0% https://t.co/hkEhNc968H #YoNoSoyPardo https://t.co/de6…,0,102,Tue Dec 01 17:48:58 +0000 2015,es,flying_drummer,The Flying Drummer,Casablanca,185,13671,671747833591148544
"You've (probably) participated in #blackfriday and #cybermonday, why not got for the trifecta and… https://t.co/0bVXiX2if5",0,0,Tue Dec 01 17:49:00 +0000 2015,en,clicht91,Christine Marie,Eastern Time (US & Canada),198,6460,671747843246465024
Participating in #GivingTuesday feels way better than shopping on #BlackFriday! Give Something That Means Something: https://t.co/6rT0v10UL4,0,0,Tue Dec 01 17:49:03 +0000 2015,en,WCoRedCross,Western CO Red Cross,"",133,763,671747853379887104
Participating in #GivingTuesday feels way better than shopping on #BlackFriday! Give Something That Means Something: https://t.co/nGKVgZghaQ,1,1,Tue Dec 01 17:49:03 +0000 2015,en,RedCrossDenver,Red Cross Denver,Mountain Time (US & Canada),11418,5957,671747853396656129
Participating in #GivingTuesday feels way better than shopping on #BlackFriday! Give Something That Means Something: https://t.co/em53gMX8hE,0,0,Tue Dec 01 17:49:03 +0000 2015,en,WyoRedCross,WyoRedCross,"",32,285,671747853715378177
Participating in #GivingTuesday feels way better than shopping on #BlackFriday! Give Something That Means Something: https://t.co/C6IekjHchz,0,0,Tue Dec 01 17:49:03 +0000 2015,en,NoCORedCross,NoCO Red Cross ,Mountain Time (US & Canada),2325,1554,671747853937717249
RT @VIZIO: It’s #BlackFriday! Shop now for our best deals of the year. https://t.co/56RjqIQWJy https://t.co/b99lzV7ET4,0,163,Tue Dec 01 17:49:03 +0000 2015,en,wrose0,WR,"",2,447,671747855581843456
#SALEOFF #BLACKFRIDAY https://t.co/niAOeUoD08 https://t.co/KZKbSyB6HW,0,0,Tue Dec 01 17:49:09 +0000 2015,und,mildrededward18,MildredEdwards4966,"",1815,659,671747880177164288
RT @etsymeetntweet: BAMSale https://t.co/wFFdHUtnve https://t.co/IibVmMvyTW #BlackFriday #Etsymntt #EtsyGifts,0,14,Tue Dec 01 17:49:12 +0000 2015,en,YoursTrulli0925,YoursTrulli,"",2976,65134,671747891891957760
Three Lessons For #Marketers From #BlackFriday Social Buzz https://t.co/iPPGpxyXH4 https://t.co/hgmtWtmwKu,0,0,Tue Dec 01 17:49:12 +0000 2015,en,AllyLegend,Alexandra Legend,Eastern Time (US & Canada),2100,3532,671747891996655616
RT @damart_uk: To celebrate #BlackFriday we are giving away this chic outfit to one lucky winner! Follow &amp; RT to enter! #Comp #Win https://…,0,769,Tue Dec 01 17:49:16 +0000 2015,en,ladycomper,June Munday,London,392,13042,671747910497906689
RT @Sharayah20: Traffic caught in the March #BlackLivesMatter #BlackFriday protest is peaceful #seattle https://t.co/aSsmb6mWQm,0,5,Tue Dec 01 17:49:20 +0000 2015,en,ImranTheAli,Imran Ali,"",33,907,671747923831427072
How an 'addict' made the silver screen https://t.co/0gKAnQkZWO #MacysParade #Breaking #indiedev #BlackFriday #Amazon #ad,0,0,Tue Dec 01 17:49:23 +0000 2015,en,RatesNews,#blackfriday Amazon,Pacific Time (US & Canada),21,2440,671747936800256000
#givingtuesday folks so ...#letsgiver eh?! A few #rsd2015 #blackfriday titles left if you hurry https://t.co/soR8aV7ukY,0,0,Tue Dec 01 17:49:27 +0000 2015,en,HPostersMusic,Heritage Posters,Mountain Time (US & Canada),323,1223,671747956094197760
RT @NEWS1130: #BlackFriday backlash leads to increase in 'giving' https://t.co/hwQvH73Jyc #GivingTuesday https://t.co/ropdmZYQXU,0,7,Tue Dec 01 17:49:28 +0000 2015,en,JeffGignac,JeffG,Eastern Time (US & Canada),1703,41760,671747960267493376
"Get $20 Off Your #Lyft #RIDE w\ #Promo #Code ""ARIS938912"" #GOPATS #PATRIOTS #BLACKFRIDAY #SALE 1538",0,0,Tue Dec 01 17:49:29 +0000 2015,en,LyftPromotions,LyftPromotions,Eastern Time (US & Canada),20,13051,671747961894789120
RT @consumidores: El #BlackFriday de MediaMarkt supuso unos descuentos medios del 0% https://t.co/hkEhNc968H #YoNoSoyPardo https://t.co/de6…,0,102,Tue Dec 01 17:49:35 +0000 2015,es,Quijotemancha10,Quijote De La Mancha,"",7,3,671747989787041792
"Real history of #BlackFriday?
a) + side of bus. ledger
b) Great Depression
c) U.S. slavery
d) Philly police slang
https://t.co/h4Pb3yRSRJ",0,0,Tue Dec 01 17:49:42 +0000 2015,en,headbloom,Alan Headbloom,Eastern Time (US & Canada),579,10721,671748017259749376
RT @HappyBeds: FOLLOW &amp; RT to be in with a chance to #win a #HappyBedsMattress! #BlackFriday #Giveaway #Competition https://t.co/BQQGaSfY1l,0,132,Tue Dec 01 17:49:44 +0000 2015,en,Nicolefletcher8,Nicole fletcher,"",133,1181,671748025111453696
RT @consumidores: El #BlackFriday de MediaMarkt supuso unos descuentos medios del 0% https://t.co/hkEhNc968H #YoNoSoyPardo https://t.co/de6…,0,102,Tue Dec 01 17:49:46 +0000 2015,es,LuisST9,Luis Solís,"",174,3993,671748032380170240
En algun lugar de RD luego del #BlackFriday @Argentarium https://t.co/Jewdkh2jFb,0,0,Tue Dec 01 17:49:47 +0000 2015,es,Joanna2929,Joanna Torres H.,Atlantic Time (Canada),365,7506,671748036557582336
"@MyproteinUK I just received my awesome #blackbox from my blackfriday order! Love it, thanks!",1,0,Tue Dec 01 17:49:49 +0000 2015,en,Lullabella85,Lucy,"",31,195,671748048180133892
RT @marcuslilley: Speaking about #wifi speeds and post #BlackFriday &amp; #CyberMonday on @BBCWiltshire at 6.10pm,0,1,Tue Dec 01 17:49:53 +0000 2015,en,BBCWiltshire,BBC Wiltshire,London,27592,42217,671748061849395204
RT @ClinicPhonesl: Sorteamos 3 pendrive con tu nombre entre nuestros seguidores de twitter. Participa retuiteando.#sorteos #BlackFriday htt…,0,323,Tue Dec 01 17:49:53 +0000 2015,es,anonimous558,"Mem,Verdad yJusticia",London,1352,6339,671748065120952320
RT @marta_espgon: Aquest any sembla el #blackfriday de les eleccions!! #patètic,0,3,Tue Dec 01 17:49:57 +0000 2015,und,xevivic,Xevier Bl.,Madrid,223,1437,671748079742271488
@CMIContent #CMWorld A8: Cards Against Humanity had really fab charitable message behind their #BlackFriday stunt: https://t.co/sJCCiiKswO,0,0,Tue Dec 01 17:49:57 +0000 2015,en,sarahsmall,Sarah Little,London,506,5574,671748081566748672
"#BlackFriday Haul and $100 gift card #Giveaway today, on the blog. #gtcblackfriday @ShopGTC #win #surrey #vancouver https://t.co/iUXMPMJrci",1,0,Tue Dec 01 17:49:59 +0000 2015,en,QueenEarlGrey,LittleMissMama,Pacific Time (US & Canada),2364,8124,671748087283486720
"Did you get anything special on Black Friday or Cyber Monday this year? Spill it! 
#blackfriday… https://t.co/w3Ytd2xk3M",0,0,Tue Dec 01 17:49:59 +0000 2015,en,StyledToSparkle,StyledToSparkle,"",22,986,671748089099735040
"Did you get anything special on Black Friday or Cyber Monday this year? Spill it! 
#blackfriday #cybermonday... https://t.co/dwuVM6gWVI",0,0,Tue Dec 01 17:50:02 +0000 2015,en,StyledToSparkle,StyledToSparkle,"",22,986,671748100323692544
#amen @styledbychii_ all these #CYBERMONDAY and #blackfriday… https://t.co/EBTnNVSHhj https://t.co/9RtG2iCxF5,0,0,Tue Dec 01 17:50:03 +0000 2015,en,bras_panties,Sexy Bra and Panties,"",57,3129,671748105763590144
"Oh, South Africa. You picked up #BlackFriday, but not #Thanksgiving or #GivingTuesday. sigh. https://t.co/4xVyNtFRIz via @allafrica",2,0,Tue Dec 01 17:50:03 +0000 2015,en,embracediversiT,Eileen Kugler,Eastern Time (US & Canada),2178,12778,671748106589982720
OfficeFurnDeals: Biggest VPN Discount of the Year! Check out https://t.co/CA2tZbWBLm #cybermonday #holiday #blackfriday,0,0,Tue Dec 01 17:50:03 +0000 2015,en,iOS_Android_App,Skyler Y,Pacific Time (US & Canada),100,37175,671748107269484544
LehiDominguez: Biggest VPN Discount of the Year! Check out https://t.co/CA2tZbWBLm #cybermonday #holiday #blackfriday,0,0,Tue Dec 01 17:50:04 +0000 2015,en,iOS_Android_App,Skyler Y,Pacific Time (US & Canada),100,37175,671748108733308928
ItsRiazA: Biggest VPN Discount of the Year! Check out https://t.co/CA2tZbWBLm #cybermonday #holiday #blackfriday,0,0,Tue Dec 01 17:50:04 +0000 2015,en,iOS_Android_App,Skyler Y,Pacific Time (US & Canada),100,37175,671748110423629824
frequentfly99: Biggest VPN Discount of the Year! Check out https://t.co/CA2tZbWBLm #cybermonday #holiday #blackfriday,0,0,Tue Dec 01 17:50:05 +0000 2015,en,iOS_Android_App,Skyler Y,Pacific Time (US & Canada),100,37175,671748112034226177
itamorga: Biggest VPN Discount of the Year! Check out https://t.co/CA2tZbWBLm #cybermonday #holiday #blackfriday,0,0,Tue Dec 01 17:50:05 +0000 2015,en,iOS_Android_App,Skyler Y,Pacific Time (US & Canada),100,37175,671748113493852160
DengSip: Biggest VPN Discount of the Year! Check out https://t.co/CA2tZbWBLm #cybermonday #holiday #blackfriday,0,0,Tue Dec 01 17:50:05 +0000 2015,en,iOS_Android_App,Skyler Y,Pacific Time (US & Canada),100,37175,671748113518972928
Room28Comedy: Biggest VPN Discount of the Year! Check out https://t.co/CA2tZbWBLm #cybermonday #holiday #blackfriday,0,0,Tue Dec 01 17:50:05 +0000 2015,en,iOS_Android_App,Skyler Y,Pacific Time (US & Canada),100,37175,671748114659811328
Laughing_Mantis: Biggest VPN Discount of the Year! Check out https://t.co/CA2tZbWBLm #cybermonday #holiday #blackfriday,0,0,Tue Dec 01 17:50:05 +0000 2015,en,iOS_Android_App,Skyler Y,Pacific Time (US & Canada),100,37175,671748114823385089
I just entered to win a signed paperback in Sydney Logan's #BlackFriday Book Blitz! https://t.co/QAFD84BeXm,0,0,Tue Dec 01 17:50:05 +0000 2015,en,foxdelivers,Kelly F,"",2071,18891,671748115465166848
WetherlyXavior: Biggest VPN Discount of the Year! Check out https://t.co/CA2tZbWBLm #cybermonday #holiday #blackfriday,0,0,Tue Dec 01 17:50:06 +0000 2015,en,iOS_Android_App,Skyler Y,Pacific Time (US & Canada),100,37175,671748116371120128
AutographAthntc: Biggest VPN Discount of the Year! Check out https://t.co/CA2tZbWBLm #cybermonday #holiday #blackfriday,0,0,Tue Dec 01 17:50:06 +0000 2015,en,iOS_Android_App,Skyler Y,Pacific Time (US & Canada),100,37175,671748116526297088
AddisJeorge: Biggest VPN Discount of the Year! Check out https://t.co/CA2tZbWBLm #cybermonday #holiday #blackfriday,0,0,Tue Dec 01 17:50:06 +0000 2015,en,iOS_Android_App,Skyler Y,Pacific Time (US & Canada),100,37175,671748117759397889
ourpieceofearth: Biggest VPN Discount of the Year! Check out https://t.co/CA2tZbWBLm #cybermonday #holiday #blackfriday,0,0,Tue Dec 01 17:50:06 +0000 2015,en,iOS_Android_App,Skyler Y,Pacific Time (US & Canada),100,37175,671748117818179584
